had1,z1,pt
300.0,0.25,0.01
300.0,0.25,0.07263157894736841
300.0,0.25,0.13526315789473684
300.0,0.25,0.19789473684210523
300.0,0.25,0.26052631578947366
300.0,0.25,0.3231578947368421
300.0,0.25,0.38578947368421046
300.0,0.25,0.4484210526315789
300.0,0.25,0.5110526315789473
300.0,0.25,0.5736842105263157
300.0,0.25,0.6363157894736842
300.0,0.25,0.6989473684210525
300.0,0.25,0.7615789473684209
300.0,0.25,0.8242105263157894
300.0,0.25,0.8868421052631578
300.0,0.25,0.9494736842105262
300.0,0.25,1.0121052631578946
300.0,0.25,1.074736842105263
300.0,0.25,1.1373684210526314
300.0,0.25,1.2
300.0,0.35,0.01
300.0,0.35,0.07263157894736841
300.0,0.35,0.13526315789473684
300.0,0.35,0.19789473684210523
300.0,0.35,0.26052631578947366
300.0,0.35,0.3231578947368421
300.0,0.35,0.38578947368421046
300.0,0.35,0.4484210526315789
300.0,0.35,0.5110526315789473
300.0,0.35,0.5736842105263157
300.0,0.35,0.6363157894736842
300.0,0.35,0.6989473684210525
300.0,0.35,0.7615789473684209
300.0,0.35,0.8242105263157894
300.0,0.35,0.8868421052631578
300.0,0.35,0.9494736842105262
300.0,0.35,1.0121052631578946
300.0,0.35,1.074736842105263
300.0,0.35,1.1373684210526314
300.0,0.35,1.2
300.0,0.45,0.01
300.0,0.45,0.07263157894736841
300.0,0.45,0.13526315789473684
300.0,0.45,0.19789473684210523
300.0,0.45,0.26052631578947366
300.0,0.45,0.3231578947368421
300.0,0.45,0.38578947368421046
300.0,0.45,0.4484210526315789
300.0,0.45,0.5110526315789473
300.0,0.45,0.5736842105263157
300.0,0.45,0.6363157894736842
300.0,0.45,0.6989473684210525
300.0,0.45,0.7615789473684209
300.0,0.45,0.8242105263157894
300.0,0.45,0.8868421052631578
300.0,0.45,0.9494736842105262
300.0,0.45,1.0121052631578946
300.0,0.45,1.074736842105263
300.0,0.45,1.1373684210526314
300.0,0.45,1.2
300.0,0.6,0.01
300.0,0.6,0.07263157894736841
300.0,0.6,0.13526315789473684
300.0,0.6,0.19789473684210523
300.0,0.6,0.26052631578947366
300.0,0.6,0.3231578947368421
300.0,0.6,0.38578947368421046
300.0,0.6,0.4484210526315789
300.0,0.6,0.5110526315789473
300.0,0.6,0.5736842105263157
300.0,0.6,0.6363157894736842
300.0,0.6,0.6989473684210525
300.0,0.6,0.7615789473684209
300.0,0.6,0.8242105263157894
300.0,0.6,0.8868421052631578
300.0,0.6,0.9494736842105262
300.0,0.6,1.0121052631578946
300.0,0.6,1.074736842105263
300.0,0.6,1.1373684210526314
300.0,0.6,1.2
310.0,0.25,0.01
310.0,0.25,0.07263157894736841
310.0,0.25,0.13526315789473684
310.0,0.25,0.19789473684210523
310.0,0.25,0.26052631578947366
310.0,0.25,0.3231578947368421
310.0,0.25,0.38578947368421046
310.0,0.25,0.4484210526315789
310.0,0.25,0.5110526315789473
310.0,0.25,0.5736842105263157
310.0,0.25,0.6363157894736842
310.0,0.25,0.6989473684210525
310.0,0.25,0.7615789473684209
310.0,0.25,0.8242105263157894
310.0,0.25,0.8868421052631578
310.0,0.25,0.9494736842105262
310.0,0.25,1.0121052631578946
310.0,0.25,1.074736842105263
310.0,0.25,1.1373684210526314
310.0,0.25,1.2
310.0,0.35,0.01
310.0,0.35,0.07263157894736841
310.0,0.35,0.13526315789473684
310.0,0.35,0.19789473684210523
310.0,0.35,0.26052631578947366
310.0,0.35,0.3231578947368421
310.0,0.35,0.38578947368421046
310.0,0.35,0.4484210526315789
310.0,0.35,0.5110526315789473
310.0,0.35,0.5736842105263157
310.0,0.35,0.6363157894736842
310.0,0.35,0.6989473684210525
310.0,0.35,0.7615789473684209
310.0,0.35,0.8242105263157894
310.0,0.35,0.8868421052631578
310.0,0.35,0.9494736842105262
310.0,0.35,1.0121052631578946
310.0,0.35,1.074736842105263
310.0,0.35,1.1373684210526314
310.0,0.35,1.2
310.0,0.45,0.01
310.0,0.45,0.07263157894736841
310.0,0.45,0.13526315789473684
310.0,0.45,0.19789473684210523
310.0,0.45,0.26052631578947366
310.0,0.45,0.3231578947368421
310.0,0.45,0.38578947368421046
310.0,0.45,0.4484210526315789
310.0,0.45,0.5110526315789473
310.0,0.45,0.5736842105263157
310.0,0.45,0.6363157894736842
310.0,0.45,0.6989473684210525
310.0,0.45,0.7615789473684209
310.0,0.45,0.8242105263157894
310.0,0.45,0.8868421052631578
310.0,0.45,0.9494736842105262
310.0,0.45,1.0121052631578946
310.0,0.45,1.074736842105263
310.0,0.45,1.1373684210526314
310.0,0.45,1.2
310.0,0.6,0.01
310.0,0.6,0.07263157894736841
310.0,0.6,0.13526315789473684
310.0,0.6,0.19789473684210523
310.0,0.6,0.26052631578947366
310.0,0.6,0.3231578947368421
310.0,0.6,0.38578947368421046
310.0,0.6,0.4484210526315789
310.0,0.6,0.5110526315789473
310.0,0.6,0.5736842105263157
310.0,0.6,0.6363157894736842
310.0,0.6,0.6989473684210525
310.0,0.6,0.7615789473684209
310.0,0.6,0.8242105263157894
310.0,0.6,0.8868421052631578
310.0,0.6,0.9494736842105262
310.0,0.6,1.0121052631578946
310.0,0.6,1.074736842105263
310.0,0.6,1.1373684210526314
310.0,0.6,1.2
